ds,y
2019-11-26,2527.0
2019-11-27,2521.204924
2019-11-28,3289.566805
2019-11-29,3044.37
2019-11-30,2824.92
2019-12-01,2779.7
2019-12-02,2820.93
2019-12-03,3323.67
2019-12-04,2504.566092
2019-12-05,2323.707505
2019-12-06,2532.32
2019-12-07,2404.64
2019-12-08,2705.22
2019-12-09,2577.54
2019-12-10,2800.98
2019-12-11,2585.52
2019-12-12,2754.43
2019-12-13,2754.43
2019-12-14,3103.994964
2019-12-15,2560.935216
2019-12-16,2328.860457
2019-12-17,2893.552256
2019-12-18,2594.219264
2019-12-19,3313.38245
2019-12-20,3160.08
2019-12-21,2881.633727
2019-12-22,3548.44
2019-12-23,2609.46
2019-12-24,2403.302818
2019-12-25,2191.84
2019-12-26,2489.76
2019-12-27,2489.76
2019-12-28,2830.24
2019-12-29,2779.7
2019-12-30,2926.0
2019-12-31,2960.58
2020-01-01,3597.8096
2020-01-02,3247.61246
2020-01-03,3196.5885
2020-01-04,2766.5064
2020-01-05,3455.872
2020-01-06,3214.344
2020-01-07,3074.8536
2020-01-08,3190.7232
2020-01-09,3686.76
2020-01-10,3653.244
2020-01-11,3827.208
2020-01-12,3436.7865
2020-01-13,3374.909261
2020-01-14,3694.075
2020-01-15,2878.9313
2020-01-16,2875.992
2020-01-17,2818.909198
2020-01-18,2895.7824
2020-01-19,2870.406
2020-01-20,2818.2168
2020-01-21,2733.2032
2020-01-22,3559.3992
2020-01-23,3277.12
2020-01-24,3276.12658
2020-01-25,3134.3312
2020-01-26,3864.9534
2020-01-27,3974.2528
2020-01-28,3836.567201
2020-01-29,3526.4418
2020-01-30,3072.3
2020-01-31,3126.286695
2020-02-01,2458.955705
2020-02-02,6832.937244
2020-02-03,5918.635128
2020-02-04,3058.701282
2020-02-05,2760.2288
2020-02-06,2937.4912
2020-02-07,2507.900668
2020-02-08,2458.319598
2020-02-09,2930.256
2020-02-10,3024.819
2020-02-11,2767.597489
2020-02-12,2982.126
2020-02-13,3172.217005
2020-02-14,2963.0937
2020-02-15,3676.6121
2020-02-16,3775.689439
2020-02-17,3435.7092
2020-02-18,3189.34
2020-02-19,3264.352
2020-02-20,3044.37
2020-02-21,2791.419385
2020-02-22,5462.412809
2020-02-23,4276.461944
2020-02-24,2584.104827
2020-02-25,3575.224162
2020-02-26,3501.276072
2020-02-27,2967.2034
2020-02-28,2681.28
2020-03-01,3656.037
2020-03-02,3379.53
2020-03-03,3692.6253
2020-03-04,3234.298873
2020-03-05,5440.192632
2020-03-06,2899.484242
2020-03-07,2187.036133
2020-03-08,2811.005689
2020-03-09,2425.763592
2020-03-10,2627.608794
2020-03-11,2539.217181
2020-03-12,2932.7431
2020-03-13,2675.154605
2020-03-14,2858.373025
2020-03-15,2538.837
2020-03-16,2466.2988
2020-03-17,2603.3154
2020-03-18,3167.5945
2020-03-19,3098.368
2020-03-20,3085.6
2020-03-21,6046.510239
2020-03-22,3108.049283
2020-03-23,2759.106801
2020-03-24,3400.0785
2020-03-25,2710.939
2020-03-26,3506.47584
2020-03-27,5639.634538
2020-03-28,3330.08858
2020-03-29,2539.5552
2020-03-30,3123.372
2020-03-31,3225.7155
2020-04-01,2668.862182
2020-04-02,3041.4972
2020-04-03,3339.272336
2020-04-04,2428.402908
2020-04-05,3170.307168
2020-04-06,2478.812983
2020-04-07,2459.671809
2020-04-08,2911.2636
2020-04-09,2582.9664
2020-04-10,2740.245178
2020-04-11,2397.7905
2020-04-12,2840.481
2020-04-13,3013.4608
2020-04-14,2926.86071
2020-04-15,2838.3264
2020-04-16,3255.84
2020-04-17,2511.971
2020-04-18,6755.703585
2020-04-19,2481.8864
2020-04-20,2645.200026
2020-04-21,2323.776
2020-04-22,2763.6336
2020-04-23,2500.8256
2020-04-24,2234.4
2020-04-25,2409.3216
2020-04-26,2652.153
2020-04-27,2577.54
2020-04-28,7344.792
2020-04-29,6618.612
2020-04-30,6445.3662
2020-05-01,6595.897462
2020-05-02,2404.385438
2020-05-03,6246.744
2020-05-04,2571.4752
2020-05-05,2191.84
2020-05-06,7090.496
2020-05-07,5960.560425
